luwe,educ,exper
6.0009,18,13
5.7987,14,13
5.5607,12,14
5.4157,11,17
6.3277,16,13
5.4807,10,14
6.0697,18,14
6.2525,15,15
5.9917,12,18
5.991,18,14
5.8584,14,13
6.0035,15,9
6.2164,16,6
6.5747,16,12
6.1719,10,19
6.4165,15,15
5.8287,11,21
5.901,14,9
5.334,12,13
6.2347,14,11
6.6939,16,14
6.3412,12,20
6.8685,16,16
5.9914,16,10
6.8682,16,7
6.1637,13,16
5.7687,18,11
6.522,17,11
5.5377,18,12
5.9917,12,16
6.5679,14,15
7.6013,13,13
6.2143,18,14
6.5677,17,9
5.7457,13,12
6.3102,14,8
6.2337,13,12
5.5212,16,7
6.0697,18,12
5.6237,12,20
6.2164,17,10
6.3235,12,20
5.6247,13,19
6.8682,18,10
5.9727,14,15
5.7297,17,7
6.3579,16,11
6.1357,12,16
6.1832,13,19
6.0867,12,20
6.1347,18,13
6.5507,12,11
6.2149,16,8
5.2187,12,11
6.0472,18,8
6.0809,16,9
6.3097,12,11
6.4825,17,7
5.7687,12,17
6.8682,17,13
6.1317,12,11
6.0399,12,17
6.0865,12,20
5.9537,12,19
5.5605,12,10
5.5802,12,15
5.4807,15,17
6.2524,12,14
6.67,18,9
6.3667,16,14
6.8287,18,14
6.6295,16,9
6.2027,12,15
5.9525,16,10
6.1095,16,13
6.0307,15,14
6.2149,12,18
5.5987,15,10
6.0087,12,12
6.2109,12,13
5.6797,10,20
6.1737,11,20
6.231,15,8
5.9332,10,20
5.7087,13,13
5.7042,10,17
6.0309,13,11
5.541,13,11
6.0157,12,16
6.9077,15,15
6.1825,12,13
5.7037,12,19
5.874,17,10
5.991,16,9
5.5607,12,12
6.3545,12,20
6.289,15,10
5.8467,16,9
5.7777,16,7
6.6582,18,11
5.8897,12,18
5.8857,12,19
5.5217,12,17
6.4527,14,16
5.9527,10,22
6.5405,17,11
6.3581,12,15
6.3575,16,9
5.913,12,20
6.1095,12,20
5.8807,9,23
6.1777,10,16
5.7037,12,11
5.7899,13,19
5.665,12,15
5.4807,13,9
5.1547,12,12
6.1637,12,12
5.5367,12,15
6.1947,13,13
6.2495,12,18
5.8467,12,14
6.0217,14,9
6.3582,12,14
6.1095,12,11
6.0917,13,11
6.8689,18,11
6.2887,16,16
6.2652,12,11
6.5115,18,8
6.5119,16,11
6.1737,12,13
5.2987,12,15
6.3905,12,10
5.8857,12,15
5.7687,12,16
5.7687,12,20
6.0247,12,18
5.9717,12,18
5.8677,10,18
5.2577,10,18
5.9117,18,10
5.4415,17,8
6.0917,11,20
6.3909,12,18
7.2339,18,10
5.7417,12,12
6.3452,11,14
6.3237,16,8
6.5115,17,10
5.5607,12,10
5.5907,13,10
6.1097,16,10
5.6627,12,15
6.0187,12,19
7.0919,15,11
6.6327,18,12
5.7137,16,11
6.2147,14,9
6.324,16,9
6.0157,15,8
6.3099,16,10
5.5212,16,6
6.1342,16,15
6.4535,18,14
6.7627,17,15
6.5512,14,16
6.305,12,17
5.4427,13,11
5.9317,12,20
6.0477,12,20
5.7037,14,9
6.3972,12,12
6.3472,12,12
5.698,12,13
6.2147,12,16
5.5987,12,16
5.0747,12,14
5.6649,12,11
5.4637,13,10
6.1349,16,9
6.4379,12,14
6.0867,14,13
6.3369,12,19
5.7869,12,18
5.5595,12,12
6.1759,16,12
5.3547,13,13
5.7897,12,15
5.9527,16,10
5.8167,12,20
5.8477,16,6
7.0919,14,16
6.1097,12,14
6.1397,12,13
5.6667,12,20
6.5667,16,14
6.817,18,12
6.0017,18,10
5.9617,17,14
5.3467,12,16
5.3467,12,12
5.7085,12,12
5.4165,12,19
6.1655,14,14
5.5335,12,17
5.4165,12,14
5.9912,15,10
5.8467,12,12
6.0697,13,11
6.3745,17,8
5.4377,13,11
5.6365,16,8
5.4455,13,9
6.5512,18,13
5.9817,13,14
5.4807,12,15
6.1397,12,20
5.6172,12,11
5.8795,12,17
5.5219,11,20
5.9139,10,22
6.2147,16,11
6.3242,16,8
5.9916,13,14
5.9007,14,9
6.2887,16,8
5.1817,10,22
4.6627,12,19
6.2147,14,8
6.8022,13,17
6.2312,16,16
6.5449,12,14
5.9125,16,10
5.7607,16,7
5.011,13,19
5.5609,18,5
6.7629,18,13
6.8689,18,14
6.5412,18,13
6.7627,15,10
6.1349,14,11
6.1007,16,11
5.0843,12,12
6.3967,12,16
5.8007,14,17
5.9267,12,17
6.152,12,18
6.0217,14,13
6.2317,12,12
6.3419,14,14
5.8865,12,18
6.2324,12,15
6.0527,12,14
6.02,12,11
5.7787,12,20
5.0107,10,14
5.3697,12,13
6.3892,12,11
5.9187,14,11
6.1357,17,15
5.3897,11,16
5.6345,16,11
5.8187,16,7
6.0472,18,14
5.4074,17,6
6.7635,16,16
6.0477,12,11
5.298,12,10
6.358,16,6
6.1347,14,17
6.0587,13,13
6.1757,14,9
5.7685,18,12
6.1757,14,11
5.901,12,10
5.9917,16,13
5.4817,18,7
5.9917,14,15
5.8467,16,9
6.3097,13,11
6.4527,16,15
6.9482,15,16
7.6012,14,16
5.8837,16,13
5.8927,14,17
5.9427,13,12
5.4317,13,10
5.2985,12,14
4.7487,12,12
6.3587,16,15
6.2712,12,18
6.0637,12,15
6.2142,11,18
6.2147,12,17
5.5137,11,12
6.0077,10,21
5.7687,10,21
6.0407,16,15
6.2909,12,18
5.7899,17,11
5.9669,12,12
6.211,15,15
6.8689,16,15
6.1757,15,16
6.1453,15,11
6.0095,14,16
6.4343,12,13
5.7897,16,9
5.7837,12,11
5.8472,14,10
5.7117,14,11
6.0027,12,19
6.2535,12,16
6.0157,12,11
6.2917,12,17
5.9927,12,19
5.946,13,18
6.4219,13,11
5.7087,12,12
5.6547,12,19
6.1095,15,11
6.7177,16,11
5.8997,16,8
5.4807,12,12
5.9407,11,14
5.7685,16,10
6.314,12,20
5.9917,12,10
5.914,12,13
5.6343,12,14
6.2705,12,16
6.1757,12,19
6.3577,12,15
5.6892,18,10
5.7447,11,13
6.1092,10,14
6.001,18,13
5.8579,13,19
6.5119,16,14
5.8865,12,15
6.2147,16,8
6.0917,16,7
5.5091,14,10
6.0913,15,12
5.9527,12,18
5.6647,13,11
5.9919,9,19
5.5727,16,8
6.2307,14,16
6.2637,12,10
5.8465,12,20
6.3577,16,7
6.3765,17,8
6.2519,12,18
5.66,12,11
6.0867,12,18
6.1095,14,10
5.416,13,11
6.0967,14,11
5.9527,16,6
5.836,18,10
5.6207,12,10
6.2249,11,21
5.4807,11,12
5.4737,12,16
5.924,12,11
5.5907,12,11
5.7597,12,18
6.3577,17,15
5.8139,12,16
5.9765,16,7
5.8187,18,12
5.9657,13,12
6.1927,12,10
5.609,12,17
5.4805,15,9
5.7037,12,15
6.1787,12,20
5.6977,13,17
5.8857,12,19
6.31,14,12
5.5989,12,13
5.3937,16,16
5.5057,14,10
5.8957,13,12
5.7287,12,18
5.9757,13,18
6.2142,12,19
6.4223,12,17
6.1355,12,17
6.3102,16,11
5.298,13,10
6.0867,13,19
5.6645,14,17
6.208,12,20
6.1837,14,12
5.9397,12,12
6.023,12,20
6.2147,16,8
5.8632,18,10
5.9061,12,10
5.4157,12,16
5.4172,12,12
5.5957,12,20
5.7899,17,10
5.8469,12,17
6.0967,14,9
6.4225,16,11
6.3575,18,8
6.6202,11,21
6.2887,15,14
6.5679,17,14
6.016,16,7
6.0959,15,11
6.3639,12,16
5.8243,16,8
6.3405,12,11
6.119,18,11
6.6067,11,16
6.4457,12,12
5.6634,16,6
6.3577,12,18
5.5952,13,19
6.1097,12,13
5.9917,12,14
5.8583,12,14
6.3969,12,14
5.5375,10,17
6.6437,12,13
5.7295,14,9
5.7347,12,19
4.9412,16,8
5.9657,13,11
6.3037,12,12
6.7507,16,15
5.6347,16,7
6.1737,12,15
6.1407,13,17
6.0812,11,17
5.8215,11,19
6.1345,12,20
6.2145,15,11
5.7449,12,13
6.2225,16,8
6.4237,12,14
6.1347,16,12
4.8207,13,14
5.7199,12,12
6.623,12,18
5.9917,16,9
4.9417,12,18
5.8415,12,19
5.7557,12,16
5.952,12,20
5.6562,9,15
6.1509,14,13
7.0512,16,10
4.9417,12,14
6.112,12,14
6.1757,15,7
5.1927,15,10
6.0477,16,15
5.9917,11,20
4.8447,12,18
5.4047,11,17
6.3542,12,10
5.9867,9,23
6.6849,14,13
5.6085,18,6
5.4385,12,12
6.4535,16,10
6.2887,16,15
6.5515,12,19
6.0637,14,10
6.3969,12,10
6.2337,16,14
6.1752,13,14
5.5217,13,11
5.9916,12,15
6.0707,13,17
5.6247,11,21
5.9912,12,13
5.7289,15,17
5.9007,16,9
6.0075,17,13
5.704,12,11
6.0862,12,18
5.7837,16,8
5.9917,11,17
5.5957,12,14
6.1202,12,13
6.1349,16,11
6.4227,12,14
5.6647,12,12
5.7867,12,13
6.1739,12,20
6.0867,12,19
6.0477,12,17
5.9527,12,12
5.3779,12,19
5.9297,11,12
6.2884,16,10
6.4772,12,11
5.2987,13,13
5.9919,14,8
5.7247,12,17
5.776,14,13
5.3937,12,19
6.0241,11,17
5.6667,12,12
6.0297,14,14
4.7002,10,16
5.0747,10,16
5.4377,11,18
5.8287,11,20
5.5379,12,14
6.2595,12,19
6.245,13,11
6.2307,16,9
5.0595,16,11
5.9537,14,8
6.4895,15,16
5.7707,12,11
5.6655,12,12
5.7047,13,9
5.2737,17,8
6.3277,12,18
6.0475,18,7
5.8477,13,18
5.5987,12,20
5.0107,14,10
4.8677,14,13
4.9307,12,20
6.3577,17,10
5.6147,16,10
5.7302,12,18
6.035,16,10
5.7295,13,19
6.2707,16,11
6.4827,12,20
5.1157,12,12
5.3585,11,15
5.8089,12,16
6.8282,18,8
6.0297,16,9
6.2147,13,11
5.7167,12,13
6.1835,12,11
6.8682,15,16
6.3577,13,10
5.8467,16,8
5.8649,12,18
5.9917,12,17
5.927,10,16
5.7297,12,17
5.9917,12,16
6.5942,18,12
6.5117,16,15
5.7602,16,9
5.6127,12,20
5.4417,16,7
6.0307,12,20
6.2147,16,10
5.4807,13,9
5.2577,12,17
5.9917,11,12
6.162,12,18
5.3705,10,18
5.1707,12,12
5.2687,12,12
5.6417,9,21
6.4297,12,16
5.9507,12,11
5.9917,12,14
5.5217,18,12
6.2887,16,13
5.9517,12,13
5.2557,12,20
6.3979,11,19
6.4065,16,9
5.9732,18,8
5.4985,14,18
5.1927,11,14
5.6302,14,12
5.7942,11,17
5.7942,11,18
5.5372,12,11
5.6417,12,19
6.4397,12,11
6.4827,13,17
6.3575,16,10
5.4037,16,9
6.1737,15,12
5.9525,12,13
6.0427,12,19
6.174,12,10
6.2042,12,16
6.5805,16,9
5.5379,17,8
6.8022,16,7
6.7349,14,12
5.7037,13,16
5.8207,14,9
5.0967,12,20
5.9957,12,16
5.5607,12,12
5.7787,12,19
6.8685,13,11
5.901,12,20
5.7287,16,13
4.9277,12,13
5.2887,12,13
5.9274,16,9
7.3132,12,20
6.2025,14,12
6.1837,12,20
5.4417,15,7
5.4384,15,9
6.3967,16,10
6.1459,12,12
5.2147,11,19
5.9347,12,20
6.7632,16,9
6.3965,16,16
6.3187,15,12
6.3965,16,12
5.6347,12,18
5.8583,13,13
6.7627,18,8
5.7894,12,18
5.0747,12,14
6.0067,12,14
6.62,16,7
5.5287,15,11
5.1807,12,14
5.6245,16,9
5.7417,12,19
5.0157,12,18
5.507,12,17
6.5122,17,9
5.4229,12,12
6.3177,10,21
6.4227,17,8
6.1347,16,13
6.1759,14,17
5.9842,16,16
5.2577,12,19
6.0009,18,14
6.3577,13,17
6.3019,13,18
4.9417,12,15
5.2987,12,18
6.1345,16,8
5.4417,17,10
6.6842,15,9
6.2212,12,19
6.0917,16,8
5.8967,14,10
5.9917,12,20
6.1397,12,15
5.8302,12,11
5.6527,12,18
5.9177,13,11
5.2979,12,13
6.2077,13,14
6.0547,12,18
5.2005,12,12
6.0475,13,11
5.7837,10,18
4.9416,10,19
5.4377,10,17
5.1927,10,20
5.587,12,13
5.1204,12,12
5.5217,16,11
5.7895,12,18
5.2987,9,23
6.087,17,11
5.239,12,20
5.4807,12,10
6.1759,12,19
5.9527,12,16
5.8467,11,13
6.3579,16,13
6.3665,16,12
5.6797,12,18
5.8467,13,15
5.6347,12,13
5.9657,9,22
6.2537,13,14
5.8857,14,11
5.8037,12,18
5.9917,12,18
5.8017,16,8
5.394,13,12
6.1357,13,9
6.2582,15,8
5.6347,13,11
6.6455,18,8
5.075,12,14
6.869,18,10
6.2802,14,12
6.828,13,10
6.4227,17,14
5.3147,12,13
6.2947,17,12
5.9912,12,20
5.9527,12,15
6.31,12,20
5.9817,12,16
5.8917,12,19
6.2332,12,20
6.4357,12,16
6.2627,10,16
5.9117,14,15
5.8627,18,7
5.2987,13,19
6.2629,14,12
5.3937,12,12
6.1657,17,11
5.635,14,17
6.1737,14,10
6.0832,16,11
6.3067,18,12
5.2882,13,19
6.2307,12,12
6.5967,12,18
5.8957,12,15
6.5487,18,9
5.3367,16,8
5.7787,16,7
6.8685,16,14
5.8469,15,17
6.6129,16,14
5.9015,16,12
5.8477,14,15
6.3577,12,18
5.2987,14,12
6.5399,18,13
5.6712,18,6
5.8647,12,18
6.1345,12,10
6.1837,12,10
6.4224,15,8
6.785,16,10
6.8682,16,15
5.9917,13,14
5.869,12,12
6.5217,12,11
6.5217,12,15
6.198,14,12
6.0927,12,20
5.5217,11,14
5.8859,13,10
5.8347,12,18
6.2147,12,14
6.1137,18,14
5.8857,12,10
6.8689,17,15
5.9527,15,16
6.802,11,21
6.7632,12,12
6.0475,14,16
5.8857,16,8
5.961,12,13
6.6455,18,14
6.3405,12,19
5.7047,12,20
6.3069,11,11
6.175,13,14
6.1347,15,13
6.064,12,17
6.2147,12,15
6.3232,12,20
5.7897,12,13
5.7036,16,7
6.1139,13,14
5.9725,15,8
6.1737,9,19
6.2237,17,12
5.9397,12,17
4.0559,12,11
5.5957,17,8
6.1895,15,16
6.0477,14,14
5.7687,12,20
4.9957,18,7
6.6457,16,14
5.8347,12,18
5.8457,12,13
6.175,16,14
6.0157,16,8
5.6952,12,13
5.5957,12,17
5.7687,14,17
6.135,16,11
5.8687,17,12
5.7687,16,9
6.1737,17,9
5.5817,12,11
6.2145,12,19
5.901,16,12
5.9917,12,19
5.8577,12,11
6.1757,16,11
5.5857,12,11
5.9117,16,15
5.7527,12,10
5.9397,10,22
6.3577,12,19
5.8477,12,12
5.5217,9,19
5.6057,12,14
5.6247,12,17
5.7523,12,20
6.8277,17,15
6.2885,14,12
5.5834,12,14
5.6647,12,11
6.3967,13,13
6.2639,15,10
5.952,14,9
4.9913,12,13
5.9486,16,8
5.3682,12,14
5.7683,12,10
6.0134,12,18
6.1107,12,18
5.9269,15,16
5.8347,14,13
5.3467,13,12
6.3908,12,11
5.3997,12,12
5.841,12,11
6.5399,13,12
4.848,17,13
5.6178,11,16
4.7746,12,13
5.4737,12,15
5.0807,12,10
5.1187,12,13
6.1167,16,14
5.6077,12,17
5.9397,11,18
5.4807,10,20
5.5777,13,10
5.9137,12,12
5.3937,12,13
5.4907,11,13
5.1357,10,14
5.1359,14,11
5.8469,12,16
5.4377,12,11
5.4307,9,18
5.7897,16,10
5.9787,12,11
5.8262,12,17
6.4222,16,13
5.7787,12,11
6.0009,17,7
5.7537,12,18
5.8287,12,15
5.8344,12,20
6.4585,12,18
4.6437,12,19
5.6975,14,8
5.7342,13,19
6.1089,12,10
5.5213,13,11
6.0007,16,10
6.3577,12,18
5.5627,11,12
5.7037,12,14
5.7087,12,15
5.6347,12,20
5.3047,11,13
5.9267,12,14
5.5197,10,20
5.7037,12,14
5.8857,14,10
5.3757,10,13
5.4142,13,11
5.2979,15,7
5.8857,10,22
5.3237,16,11
5.8797,18,11
6.6452,18,8
5.2677,12,12
5.1862,12,11
5.8465,12,15
5.5097,14,11
6.213,12,17
5.7047,12,16
5.2469,12,12
4.2769,12,19
5.8475,10,22
6.5402,16,12
6.0587,12,12
6.7632,18,10
5.5607,10,14
5.7525,12,14
5.2867,12,16
6.057,12,13
5.3367,10,15
5.8757,12,14
5.6529,12,12
6.3587,15,8
5.441,12,13
5.394,12,20
6.3787,16,14
5.7717,13,9
6.1759,16,8
6.087,12,11
5.4807,16,8
5.1927,11,13
5.9332,12,12
5.6872,12,16
6.4377,17,9
5.5213,14,8
5.9507,13,13
5.5405,16,10
5.2587,12,14
6.3577,16,13
5.6705,12,17
5.7527,11,15
5.5995,12,15
5.3695,12,13
5.9872,16,12
